name,year,score,genre,link,chat
Достучаться до тебя 3,2024,,"романтика,повседневность",http://www.world-art.ru/animation/animation.php?id=11869,5
Ханако после школы,2023,10.0,комедия,http://www.world-art.ru/animation/animation.php?id=11863,0
Ниер: Автомата [ТВ-2],2024,,приключения,http://www.world-art.ru/animation/animation.php?id=11838,6
"Спокойной ночи, мир",2023,7.4,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11847,2
Демон-дворецкий [ТВ-4],2024,,приключения,http://www.world-art.ru/animation/animation.php?id=11814,4
Наруто (2024),2024,,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11822,7
Унеси меня на Луну: Дни старшей школы,2023,7.1,"комедия,романтика",http://www.world-art.ru/animation/animation.php?id=11785,2
Ура мечте! Это Майго!,2023,6.6,"повседневность,музыкальный",http://www.world-art.ru/animation/animation.php?id=11744,1
Мальчик-летучая рыбка заболел,1982,5.0,драма,http://www.world-art.ru/animation/animation.php?id=11750,0
Театр тьмы [ТВ-11],2023,5.3,триллер,http://www.world-art.ru/animation/animation.php?id=11763,0
Четверо братьев Юдзуки,2023,,"комедия,повседневность",http://www.world-art.ru/animation/animation.php?id=11762,6
Воины пограничья Web,2023,2.5,"приключения,фантастика,меха",http://www.world-art.ru/animation/animation.php?id=11768,1
Yakitori,2023,6.6,"приключения,фантастика",http://www.world-art.ru/animation/animation.php?id=11720,3
Ооку,2023,6.9,"романтика,повседневность,драма",http://www.world-art.ru/animation/animation.php?id=11717,2
16-битная чувственность,2023,,"комедия,повседневность",http://www.world-art.ru/animation/animation.php?id=11724,6
Хоримия [ТВ-2],2023,7.6,"комедия,романтика",http://www.world-art.ru/animation/animation.php?id=11725,6
Go-Toubun no Hanayome~,2023,8.0,"комедия,романтика",http://www.world-art.ru/animation/animation.php?id=11736,3
Истории нечисти [ТВ-2],2023,6.6,"приключения,мистика",http://www.world-art.ru/animation/animation.php?id=11732,9
Великий из бродячих псов [ТВ-5],2023,8.4,приключения,http://www.world-art.ru/animation/animation.php?id=11733,0
"Покемон: Аркеус, названный богом",2022,6.0,приключения,http://www.world-art.ru/animation/animation.php?id=11743,0
Шпионский класс [ТВ-2],2023,6.9,"приключения,комедия",http://www.world-art.ru/animation/animation.php?id=11741,1
Волчица и пряности (2024),2024,,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11802,11
