name,year,score,genre,link,chat
Достучаться до тебя 3,2024,0,"романтика,повседневность",http://www.world-art.ru/animation/animation.php?id=11869,5
Ниер: Автомата [ТВ-2],2024,0,приключения,http://www.world-art.ru/animation/animation.php?id=11838,6
"Спокойной ночи, мир",2023,7.4,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11847,2
Демон-дворецкий [ТВ-4],2024,0,приключения,http://www.world-art.ru/animation/animation.php?id=11814,4
Наруто (2024),2024,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11822,7
Унеси меня на Луну: Дни старшей школы,2023,7.1,"комедия,романтика",http://www.world-art.ru/animation/animation.php?id=11785,2
Четверо братьев Юдзуки,2023,0,"комедия,повседневность",http://www.world-art.ru/animation/animation.php?id=11762,6
16-битная чувственность,2023,0,"комедия,повседневность",http://www.world-art.ru/animation/animation.php?id=11724,6
Хоримия [ТВ-2],2023,7.6,"комедия,романтика",http://www.world-art.ru/animation/animation.php?id=11725,6
Великий из бродячих псов [ТВ-5],2023,8.4,приключения,http://www.world-art.ru/animation/animation.php?id=11733,0
Go-Toubun no Hanayome~,2023,8.0,"комедия,романтика",http://www.world-art.ru/animation/animation.php?id=11736,3
Истории нечисти [ТВ-2],2023,6.6,"приключения,мистика",http://www.world-art.ru/animation/animation.php?id=11732,9
Волчица и пряности (2024),2024,0,"приключения,фэнтези",http://www.world-art.ru/animation/animation.php?id=11802,11
Ханако после школы,2023,10.0,комедия,http://www.world-art.ru/animation/animation.php?id=11863,0
